------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File         Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
   57 |  1 SMBDEMO.S     57 | Equivalence | 11 |         |    0 | 00/0000               | AppMMID                         =         $0                   
   58 |  1 SMBDEMO.S     58 | Equivalence | 11 |         |    0 | 00/0000               | HndlRef                         =         $2                   
   59 |  1 SMBDEMO.S     59 | Equivalence | 11 |         |    0 | 00/0000               | DPBase                          =         $4                   
   60 |  1 SMBDEMO.S     60 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   61 |  1 SMBDEMO.S     61 | Comment     | 11 |         |    0 | 00/0000               | *-----------------------------------------------------------------------------
   62 |  1 SMBDEMO.S     62 | Comment     | 11 |         |    0 | 00/0000               | * GS/OS Program Entry Point
   63 |  1 SMBDEMO.S     63 | Comment     | 11 |         |    0 | 00/0000               | *-----------------------------------------------------------------------------
   64 |  1 SMBDEMO.S     64 | Empty       | 11 |         |    0 | 00/0000               |                                                                
   65 |  1 SMBDEMO.S     65 | Directive   | 00 |         |    0 | 00/0000               | Entry                           mx        %00                  
   66 |  1 SMBDEMO.S     66 | Code        | 00 |         |    1 | 00/0000 : 4B          |                                 phk                            
   67 |  1 SMBDEMO.S     67 | Code        | 00 |         |    1 | 00/0001 : AB          |                                 plb                            
   68 |  1 SMBDEMO.S     68 | Code        | 00 |         |    3 | 00/0002 : 82 75 01    |                                 brl       Main                 
   69 |  1 SMBDEMO.S     69 | Empty       | 00 |         |    0 | 00/0005               |                                                                
   70 |  1 SMBDEMO.S     70 | Comment     | 00 |         |    0 | 00/0005               | *
   71 |  1 SMBDEMO.S     71 | Comment     | 00 |         |    0 | 00/0005               | * Check for toolbox errors
   72 |  1 SMBDEMO.S     72 | Comment     | 00 |         |    0 | 00/0005               | * too-simple error handler
   73 |  1 SMBDEMO.S     73 | Comment     | 00 |         |    0 | 00/0005               | *
   74 |  1 SMBDEMO.S     74 | Code        | 00 |         |    2 | 00/0005 : B0 01       | CheckError                      bcs       SysDeath             
   75 |  1 SMBDEMO.S     75 | Code        | 00 |         |    1 | 00/0007 : 60          |                                 rts                            
   76 |  1 SMBDEMO.S     76 | Empty       | 00 |         |    0 | 00/0008               |                                                                
   77 |  1 SMBDEMO.S     77 | Code        | 00 |         |    1 | 00/0008 : 48          | SysDeath                        pha                            
   78 |  1 SMBDEMO.S     78 | Macro       | 00 |         |    0 | 00/0009               |                                 PushLong  #0000                
   82 |  1 SMBDEMO.S     78 | Code        | 00 |         |    3 | 00/0009 : F4 00 00    |                                 PEA       #^#0000              
   89 |  1 SMBDEMO.S     78 | Code        | 00 |         |    3 | 00/000C : F4 00 00    |                                 PEA       #0000                
   92 |  1 SMBDEMO.S     79 | Macro       | 00 |         |    0 | 00/000F               |                                 _SysFailMgr                       
   94 |  1 SMBDEMO.S     79 | Code        | 00 |         |    3 | 00/000F : A2 03 15    |                                 LDX       #$1503               ; load tool call #
   95 |  1 SMBDEMO.S     79 | Code        | 00 |         |    4 | 00/0012 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
   96 |  1 SMBDEMO.S     80 | Empty       | 00 |         |    0 | 00/0016               |                                                                
   97 |  1 SMBDEMO.S     81 | Comment     | 00 |         |    0 | 00/0016               | *
   98 |  1 SMBDEMO.S     82 | Comment     | 00 |         |    0 | 00/0016               | * StartUpTools - start up the various toolsets
   99 |  1 SMBDEMO.S     83 | Comment     | 00 |         |    0 | 00/0016               | *
  100 |  1 SMBDEMO.S     84 | Macro       | 00 |         |    0 | 00/0016               | StartUpTools                    _TLStartUp                       
  102 |  1 SMBDEMO.S     84 | Code        | 00 |         |    3 | 00/0016 : A2 01 02    |                                 LDX       #$201                ; load tool call #
  103 |  1 SMBDEMO.S     84 | Code        | 00 |         |    4 | 00/0019 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  104 |  1 SMBDEMO.S     85 | Code        | 00 |         |    1 | 00/001D : 48          |                                 pha                            
  105 |  1 SMBDEMO.S     86 | Macro       | 00 |         |    0 | 00/001E               |                                 _MMStartUp                       
  107 |  1 SMBDEMO.S     86 | Code        | 00 |         |    3 | 00/001E : A2 02 02    |                                 LDX       #$202                ; load tool call #
  108 |  1 SMBDEMO.S     86 | Code        | 00 |         |    4 | 00/0021 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  109 |  1 SMBDEMO.S     87 | Code        | 00 |  2      |    3 | 00/0025 : 20 05 00    |                                 jsr       CheckError           
  110 |  1 SMBDEMO.S     88 | Macro       | 00 |         |    0 | 00/0028               |                                 PullWord  {$0}                 
  111 |  1 SMBDEMO.S     88 | Code        | 00 |         |    1 | 00/0028 : 68          |                                 PLA                            
  113 |  1 SMBDEMO.S     88 | Code        | 00 |         |    2 | 00/0029 : 85 00       |                                 STA       {$0}                 
  117 |  1 SMBDEMO.S     89 | Macro       | 00 |         |    0 | 00/002B               |                                 _MTStartUp                       
  119 |  1 SMBDEMO.S     89 | Code        | 00 |         |    3 | 00/002B : A2 03 02    |                                 LDX       #$203                ; load tool call #
  120 |  1 SMBDEMO.S     89 | Code        | 00 |         |    4 | 00/002E : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  121 |  1 SMBDEMO.S     90 | Empty       | 00 |         |    0 | 00/0032               |                                                                
  122 |  1 SMBDEMO.S     91 | Code        | 00 |         |    1 | 00/0032 : 48          |                                 pha                            
  123 |  1 SMBDEMO.S     92 | Code        | 00 |         |    1 | 00/0033 : 48          |                                 pha                            
  124 |  1 SMBDEMO.S     93 | Macro       | 00 |         |    0 | 00/0034               |                                 PushLong  #$800                ; 8 pages of DP space
  128 |  1 SMBDEMO.S     93 | Code        | 00 |         |    3 | 00/0034 : F4 00 00    |                                 PEA       #^#$800              
  135 |  1 SMBDEMO.S     93 | Code        | 00 |         |    3 | 00/0037 : F4 00 08    |                                 PEA       #$800                
  138 |  1 SMBDEMO.S     94 | Macro       | 00 |         |    0 | 00/003A               |                                 PushWord  {$0}                 
  143 |  1 SMBDEMO.S     94 | Code        | 00 |         |    2 | 00/003A : A5 00       |                                 LDA       {$0}                 
  144 |  1 SMBDEMO.S     94 | Code        | 00 |         |    1 | 00/003C : 48          |                                 PHA                            
  146 |  1 SMBDEMO.S     95 | Macro       | 00 |         |    0 | 00/003D               |                                 PushWord  #$C005               ; Fixed, Page-Aligned, Locked, Unpurgeable
  148 |  1 SMBDEMO.S     95 | Code        | 00 |         |    3 | 00/003D : F4 05 C0    |                                 PEA       #$C005               
  151 |  1 SMBDEMO.S     96 | Macro       | 00 |         |    0 | 00/0040               |                                 PushLong  #$000000             ; in Bank $00, $0000
  155 |  1 SMBDEMO.S     96 | Code        | 00 |         |    3 | 00/0040 : F4 00 00    |                                 PEA       #^#$000000           
  162 |  1 SMBDEMO.S     96 | Code        | 00 |         |    3 | 00/0043 : F4 00 00    |                                 PEA       #$000000             
  165 |  1 SMBDEMO.S     97 | Macro       | 00 |         |    0 | 00/0046               |                                 _NewHandle                       
  167 |  1 SMBDEMO.S     97 | Code        | 00 |         |    3 | 00/0046 : A2 02 09    |                                 LDX       #$902                ; load tool call #
  168 |  1 SMBDEMO.S     97 | Code        | 00 |         |    4 | 00/0049 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  169 |  1 SMBDEMO.S     98 | Code        | 00 |  2      |    3 | 00/004D : 20 05 00    |                                 jsr       CheckError           
  170 |  1 SMBDEMO.S     99 | Macro       | 00 |         |    0 | 00/0050               |                                 PullLong  {$2}                 
  173 |  1 SMBDEMO.S     99 | Code        | 00 |         |    1 | 00/0050 : 68          |                                 PLA                            
  175 |  1 SMBDEMO.S     99 | Code        | 00 |         |    2 | 00/0051 : 85 02       |                                 STA       {$2}                 
  180 |  1 SMBDEMO.S     99 | Code        | 00 |         |    1 | 00/0053 : 68          |                                 PLA                            
  182 |  1 SMBDEMO.S     99 | Code        | 00 |         |    2 | 00/0054 : 85 04       |                                 STA       {$2}+2               
  188 |  1 SMBDEMO.S    100 | Code        | 00 |         |    2 | 00/0056 : A7 02       |                                 lda       [{$2}]               
  189 |  1 SMBDEMO.S    101 | Code        | 00 |         |    2 | 00/0058 : 85 04       |                                 sta       {$4}                 
  190 |  1 SMBDEMO.S    102 | Empty       | 00 |         |    0 | 00/005A               |                                                                
  191 |  1 SMBDEMO.S    103 | Code        | 00 |         |    1 | 00/005A : 48          |                                 pha                            ; save dp pointer for later
  192 |  1 SMBDEMO.S    104 | Code        | 00 |         |    1 | 00/005B : 48          |                                 pha                            
  193 |  1 SMBDEMO.S    105 | Macro       | 00 |         |    0 | 00/005C               |                                 PushWord  #$0080               ; Screen Mode ($0000 = 320, $0080 = 640)
  195 |  1 SMBDEMO.S    105 | Code        | 00 |         |    3 | 00/005C : F4 80 00    |                                 PEA       #$0080               
  198 |  1 SMBDEMO.S    106 | Macro       | 00 |         |    0 | 00/005F               |                                 PushWord  #$00A0               ; Pixel Map Size ($0050 = 320, $00A0 = 640)
  200 |  1 SMBDEMO.S    106 | Code        | 00 |         |    3 | 00/005F : F4 A0 00    |                                 PEA       #$00A0               
  203 |  1 SMBDEMO.S    107 | Macro       | 00 |         |    0 | 00/0062               |                                 PushWord  {$0}                 
  208 |  1 SMBDEMO.S    107 | Code        | 00 |         |    2 | 00/0062 : A5 00       |                                 LDA       {$0}                 
  209 |  1 SMBDEMO.S    107 | Code        | 00 |         |    1 | 00/0064 : 48          |                                 PHA                            
  211 |  1 SMBDEMO.S    108 | Macro       | 00 |         |    0 | 00/0065               |                                 _QDStartUp                       
  213 |  1 SMBDEMO.S    108 | Code        | 00 |         |    3 | 00/0065 : A2 04 02    |                                 LDX       #$204                ; load tool call #
  214 |  1 SMBDEMO.S    108 | Code        | 00 |         |    4 | 00/0068 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  215 |  1 SMBDEMO.S    109 | Code        | 00 |  2      |    3 | 00/006C : 20 05 00    |                                 jsr       CheckError           
  216 |  1 SMBDEMO.S    110 | Empty       | 00 |         |    0 | 00/006F               |                                                                
  217 |  1 SMBDEMO.S    111 | Code        | 00 |         |    1 | 00/006F : 68          |                                 pla                            ; saved dp pointer
  218 |  1 SMBDEMO.S    112 | Code        | 00 |         |    1 | 00/0070 : 18          |                                 clc                            
  219 |  1 SMBDEMO.S    113 | Code        | 00 |         |    3 | 00/0071 : 69 00 03    |                                 adc       #$300                
  220 |  1 SMBDEMO.S    114 | Code        | 00 |         |    1 | 00/0074 : 48          |                                 pha                            ; save dp pointer for later
  221 |  1 SMBDEMO.S    115 | Code        | 00 |         |    1 | 00/0075 : 48          |                                 pha                            
  222 |  1 SMBDEMO.S    116 | Macro       | 00 |         |    0 | 00/0076               |                                 PushWord  #20                  ; Event Queue size
  224 |  1 SMBDEMO.S    116 | Code        | 00 |         |    3 | 00/0076 : F4 14 00    |                                 PEA       #20                  
  227 |  1 SMBDEMO.S    117 | Macro       | 00 |         |    0 | 00/0079               |                                 PushWord  #0                   ; Min X clamp
  229 |  1 SMBDEMO.S    117 | Code        | 00 |         |    3 | 00/0079 : F4 00 00    |                                 PEA       #0                   
  232 |  1 SMBDEMO.S    118 | Macro       | 00 |         |    0 | 00/007C               |                                 PushWord  #640                 ; Max X clamp
  234 |  1 SMBDEMO.S    118 | Code        | 00 |         |    3 | 00/007C : F4 80 02    |                                 PEA       #640                 
  237 |  1 SMBDEMO.S    119 | Macro       | 00 |         |    0 | 00/007F               |                                 PushWord  #0                   ; Min Y clamp
  239 |  1 SMBDEMO.S    119 | Code        | 00 |         |    3 | 00/007F : F4 00 00    |                                 PEA       #0                   
  242 |  1 SMBDEMO.S    120 | Macro       | 00 |         |    0 | 00/0082               |                                 PushWord  #200                 ; Max Y clamp
  244 |  1 SMBDEMO.S    120 | Code        | 00 |         |    3 | 00/0082 : F4 C8 00    |                                 PEA       #200                 
  247 |  1 SMBDEMO.S    121 | Macro       | 00 |         |    0 | 00/0085               |                                 PushWord  {$0}                 
  252 |  1 SMBDEMO.S    121 | Code        | 00 |         |    2 | 00/0085 : A5 00       |                                 LDA       {$0}                 
  253 |  1 SMBDEMO.S    121 | Code        | 00 |         |    1 | 00/0087 : 48          |                                 PHA                            
  255 |  1 SMBDEMO.S    122 | Macro       | 00 |         |    0 | 00/0088               |                                 _EMStartUp                       
  257 |  1 SMBDEMO.S    122 | Code        | 00 |         |    3 | 00/0088 : A2 06 02    |                                 LDX       #$206                ; load tool call #
  258 |  1 SMBDEMO.S    122 | Code        | 00 |         |    4 | 00/008B : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  259 |  1 SMBDEMO.S    123 | Code        | 00 |  2      |    3 | 00/008F : 20 05 00    |                                 jsr       CheckError           
  260 |  1 SMBDEMO.S    124 | Empty       | 00 |         |    0 | 00/0092               |                                                                
  261 |  1 SMBDEMO.S    125 | Macro       | 00 |         |    0 | 00/0092               |                                 PushWord  #0                   
  263 |  1 SMBDEMO.S    125 | Code        | 00 |         |    3 | 00/0092 : F4 00 00    |                                 PEA       #0                   
  266 |  1 SMBDEMO.S    126 | Macro       | 00 |         |    0 | 00/0095               |                                 _SetBackColor                       
  268 |  1 SMBDEMO.S    126 | Code        | 00 |         |    3 | 00/0095 : A2 04 A2    |                                 LDX       #$A204               ; load tool call #
  269 |  1 SMBDEMO.S    126 | Code        | 00 |         |    4 | 00/0098 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  270 |  1 SMBDEMO.S    127 | Empty       | 00 |         |    0 | 00/009C               |                                                                
  271 |  1 SMBDEMO.S    128 | Macro       | 00 |         |    0 | 00/009C               |                                 PushWord  #3                   
  273 |  1 SMBDEMO.S    128 | Code        | 00 |         |    3 | 00/009C : F4 03 00    |                                 PEA       #3                   
  276 |  1 SMBDEMO.S    129 | Macro       | 00 |         |    0 | 00/009F               |                                 _SetForeColor                       
  278 |  1 SMBDEMO.S    129 | Code        | 00 |         |    3 | 00/009F : A2 04 A0    |                                 LDX       #$A004               ; load tool call #
  279 |  1 SMBDEMO.S    129 | Code        | 00 |         |    4 | 00/00A2 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  280 |  1 SMBDEMO.S    130 | Empty       | 00 |         |    0 | 00/00A6               |                                                                
  281 |  1 SMBDEMO.S    131 | Macro       | 00 |         |    0 | 00/00A6               |                                 PushWord  #50                  ; X position
  283 |  1 SMBDEMO.S    131 | Code        | 00 |         |    3 | 00/00A6 : F4 32 00    |                                 PEA       #50                  
  286 |  1 SMBDEMO.S    132 | Macro       | 00 |         |    0 | 00/00A9               |                                 PushWord  #85                  ; Y position
  288 |  1 SMBDEMO.S    132 | Code        | 00 |         |    3 | 00/00A9 : F4 55 00    |                                 PEA       #85                  
  291 |  1 SMBDEMO.S    133 | Macro       | 00 |         |    0 | 00/00AC               |                                 _MoveTo                        
  293 |  1 SMBDEMO.S    133 | Code        | 00 |         |    3 | 00/00AC : A2 04 3A    |                                 LDX       #$3A04               ; load tool call #
  294 |  1 SMBDEMO.S    133 | Code        | 00 |         |    4 | 00/00AF : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  295 |  1 SMBDEMO.S    134 | Empty       | 00 |         |    0 | 00/00B3               |                                                                
  296 |  1 SMBDEMO.S    135 | Macro       | 00 |         |    0 | 00/00B3               |                                 PushLong  #OneMoment           
  300 |  1 SMBDEMO.S    135 | Code        | 00 |  1 >>16 |    3 | 00/00B3 : F4 00 00    |                                 PEA       #^#OneMoment         
  307 |  1 SMBDEMO.S    135 | Code        | 00 |  2      |    3 | 00/00B6 : F4 49 09    |                                 PEA       #OneMoment           
  310 |  1 SMBDEMO.S    136 | Macro       | 00 |         |    0 | 00/00B9               |                                 _DrawCString                       
  312 |  1 SMBDEMO.S    136 | Code        | 00 |         |    3 | 00/00B9 : A2 04 A6    |                                 LDX       #$A604               ; load tool call #
  313 |  1 SMBDEMO.S    136 | Code        | 00 |         |    4 | 00/00BC : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  314 |  1 SMBDEMO.S    137 | Empty       | 00 |         |    0 | 00/00C0               |                                                                
  315 |  1 SMBDEMO.S    138 | Macro       | 00 |         |    0 | 00/00C0               |                                 PushLong  #ToolList            
  319 |  1 SMBDEMO.S    138 | Code        | 00 |  1 >>16 |    3 | 00/00C0 : F4 00 00    |                                 PEA       #^#ToolList          
  326 |  1 SMBDEMO.S    138 | Code        | 00 |  2      |    3 | 00/00C3 : F4 00 08    |                                 PEA       #ToolList            
  329 |  1 SMBDEMO.S    139 | Macro       | 00 |         |    0 | 00/00C6               |                                 _LoadTools                       
  331 |  1 SMBDEMO.S    139 | Code        | 00 |         |    3 | 00/00C6 : A2 01 0E    |                                 LDX       #$E01                ; load tool call #
  332 |  1 SMBDEMO.S    139 | Code        | 00 |         |    4 | 00/00C9 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  333 |  1 SMBDEMO.S    140 | Code        | 00 |  2      |    3 | 00/00CD : 20 05 00    |                                 jsr       CheckError           
  334 |  1 SMBDEMO.S    141 | Empty       | 00 |         |    0 | 00/00D0               |                                                                
  335 |  1 SMBDEMO.S    142 | Macro       | 00 |         |    0 | 00/00D0               |                                 PushWord  {$0}                 
  340 |  1 SMBDEMO.S    142 | Code        | 00 |         |    2 | 00/00D0 : A5 00       |                                 LDA       {$0}                 
  341 |  1 SMBDEMO.S    142 | Code        | 00 |         |    1 | 00/00D2 : 48          |                                 PHA                            
  343 |  1 SMBDEMO.S    143 | Macro       | 00 |         |    0 | 00/00D3               |                                 _WindStartUp                       
  345 |  1 SMBDEMO.S    143 | Code        | 00 |         |    3 | 00/00D3 : A2 0E 02    |                                 LDX       #$20E                ; load tool call #
  346 |  1 SMBDEMO.S    143 | Code        | 00 |         |    4 | 00/00D6 : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  347 |  1 SMBDEMO.S    144 | Code        | 00 |  2      |    3 | 00/00DA : 20 05 00    |                                 jsr       CheckError           
  348 |  1 SMBDEMO.S    145 | Empty       | 00 |         |    0 | 00/00DD               |                                                                
  349 |  1 SMBDEMO.S    146 | Code        | 00 |         |    1 | 00/00DD : 68          |                                 pla                            ; saved dp pointer
  350 |  1 SMBDEMO.S    147 | Code        | 00 |         |    1 | 00/00DE : 18          |                                 clc                            
  351 |  1 SMBDEMO.S    148 | Code        | 00 |         |    3 | 00/00DF : 69 00 01    |                                 adc       #$100                
  352 |  1 SMBDEMO.S    149 | Code        | 00 |         |    1 | 00/00E2 : 48          |                                 pha                            ; save it for later
  353 |  1 SMBDEMO.S    150 | Code        | 00 |         |    1 | 00/00E3 : AA          |                                 tax                            ; save dp pointer in x
  354 |  1 SMBDEMO.S    151 | Macro       | 00 |         |    0 | 00/00E4               |                                 PushWord  {$0}                 
  359 |  1 SMBDEMO.S    151 | Code        | 00 |         |    2 | 00/00E4 : A5 00       |                                 LDA       {$0}                 
  360 |  1 SMBDEMO.S    151 | Code        | 00 |         |    1 | 00/00E6 : 48          |                                 PHA                            
  362 |  1 SMBDEMO.S    152 | Code        | 00 |         |    1 | 00/00E7 : DA          |                                 phx                            
  363 |  1 SMBDEMO.S    153 | Macro       | 00 |         |    0 | 00/00E8               |                                 _CtlStartUp                       
  365 |  1 SMBDEMO.S    153 | Code        | 00 |         |    3 | 00/00E8 : A2 10 02    |                                 LDX       #$210                ; load tool call #
  366 |  1 SMBDEMO.S    153 | Code        | 00 |         |    4 | 00/00EB : 22 00 00 E1 |                                 JSL       $E10000              ; go to dispatcher
  367 |  1 SMBDEMO.S    154 | Code        | 00 |  2      |    3 | 00/00EF : 20 05 00    |                                 jsr       CheckError           
  368 |  1 SMBDEMO.S    155 | Empty       | 00 |         |    0 | 00/00F2               |                                                                
  369 |  1 SMBDEMO.S    156 | Code        | 00 |         |    1 | 00/00F2 : 68          |                                 pla                            
  370 |  1 SMBDEMO.S    157 | Code        | 00 |         |    1 | 00/00F3 : 18          |                                 clc                            
  371 |  1 SMBDEMO.S    158 | Code        | 00 |         |    3 | 00/00F4 : 69 00 01    |                                 adc       #$100                
  372 |  1 SMBDEMO.S    159 | Code        | 00 |         |    1 | 00/00F7 : 48          |                                 pha                            
  373 |  1 SMBDEMO.S    160 | Code        | 00 |         |    1 | 00/00F8 : AA          |                                 tax                            
  374 |  1 SMBDEMO.S    161 | Macro       | 00 |         |    0 | 00/00F9               |                                 PushWord  {$0}                 
  379 |  1 SMBDEMO.S    161 | Code        | 00 |         |    2 | 00/00F9 : A5 00       |                                 LDA       {$0}                 
  380 |  1 SMBDEMO.S    161 | Code        | 00 |         |    1 | 00/00FB : 48          |                                 PHA                            
  382 |  1 SMBDEMO.S    162 | Code        | 00 |         |    1 | 00/00FC : DA          |                                 phx                            
  383 |  1 SMBDEMO.S    163 | Macro       | 00 |         |    0 | 00/00FD               |                                 _LEStartUp                       
  385 |  1 SMBDEMO.S    163 | Code        | 00 |         |    3 | 00/00FD : A2 14 02    |                                 LDX       #$214                ; load tool call #
